,year,name,race_id
0,2009,Malaysian Grand Prix,2
1,2009,Chinese Grand Prix,3
2,2009,German Grand Prix,9
3,2009,Belgian Grand Prix,12
4,2009,Japanese Grand Prix,15
5,2008,Australian Grand Prix,18
6,2008,Monaco Grand Prix,23
7,2008,Canadian Grand Prix,24
8,2008,French Grand Prix,25
9,2008,British Grand Prix,26
10,2008,German Grand Prix,27
11,2008,Belgian Grand Prix,30
12,2008,Italian Grand Prix,31
13,2008,Singapore Grand Prix,32
14,2008,Brazilian Grand Prix,35
15,2007,Australian Grand Prix,36
16,2007,Malaysian Grand Prix,37
17,2007,Bahrain Grand Prix,38
18,2007,Spanish Grand Prix,39
19,2007,French Grand Prix,43
20,2007,European Grand Prix,45
21,2007,Japanese Grand Prix,50
22,2007,Chinese Grand Prix,51
23,2007,Brazilian Grand Prix,52
24,2006,Malaysian Grand Prix,54
25,2006,Hungarian Grand Prix,65
26,2006,Chinese Grand Prix,68
27,2005,Australian Grand Prix,71
28,2005,Japanese Grand Prix,88
29,2004,Malaysian Grand Prix,91
30,2004,Belgian Grand Prix,103
31,2004,Japanese Grand Prix,106
32,2003,Malaysian Grand Prix,109
33,2003,Brazilian Grand Prix,110
34,2003,Austrian Grand Prix,113
35,2003,United States Grand Prix,122
36,2002,Australian Grand Prix,124
37,2002,Canadian Grand Prix,131
38,2002,European Grand Prix,132
39,2002,British Grand Prix,133
40,2002,Italian Grand Prix,138
41,2002,United States Grand Prix,139
42,2001,Australian Grand Prix,141
43,2001,Malaysian Grand Prix,142
44,2001,Brazilian Grand Prix,143
45,2001,Austrian Grand Prix,146
46,2001,European Grand Prix,149
47,2001,British Grand Prix,151
48,2001,German Grand Prix,152
49,2001,Hungarian Grand Prix,153
50,2001,Belgian Grand Prix,154
51,2001,Italian Grand Prix,155
52,2000,Brazilian Grand Prix,159
53,2000,British Grand Prix,161
54,2000,Spanish Grand Prix,162
55,2000,European Grand Prix,163
56,2000,Monaco Grand Prix,164
57,2000,Canadian Grand Prix,165
58,2000,French Grand Prix,166
59,2000,Austrian Grand Prix,167
60,2000,German Grand Prix,168
61,2000,Hungarian Grand Prix,169
62,2000,Belgian Grand Prix,170
63,2000,Italian Grand Prix,171
64,2000,United States Grand Prix,172
65,2000,Japanese Grand Prix,173
66,1999,French Grand Prix,181
67,1999,European Grand Prix,188
68,1998,British Grand Prix,199
69,1998,Austrian Grand Prix,200
70,1998,Belgian Grand Prix,203
71,1997,Monaco Grand Prix,211
72,1997,French Grand Prix,214
73,1997,German Grand Prix,216
74,1997,Belgian Grand Prix,218
75,1997,European Grand Prix,223
76,1996,Brazilian Grand Prix,225
77,1996,Monaco Grand Prix,229
78,1996,Spanish Grand Prix,230
79,1995,Brazilian Grand Prix,240
80,1995,Argentine Grand Prix,241
81,1995,San Marino Grand Prix,242
82,1995,Monaco Grand Prix,244
83,1995,Canadian Grand Prix,245
84,1995,British Grand Prix,247
85,1995,Belgian Grand Prix,250
86,1995,European Grand Prix,253
87,1995,Japanese Grand Prix,255
88,1994,Belgian Grand Prix,267
89,1994,Japanese Grand Prix,271
90,1993,Brazilian Grand Prix,274
91,1993,European Grand Prix,275
92,1993,Japanese Grand Prix,287
93,1992,Spanish Grand Prix,292
94,1992,French Grand Prix,296
95,1992,British Grand Prix,297
96,1992,Belgian Grand Prix,300
97,1991,Spanish Grand Prix,318
98,1991,Australian Grand Prix,320
99,1990,United States Grand Prix,321
100,1990,Australian Grand Prix,336
101,2010,Australian Grand Prix,338
102,2010,Malaysian Grand Prix,339
103,2010,Chinese Grand Prix,340
104,2010,Monaco Grand Prix,342
105,2010,Turkish Grand Prix,343
106,2010,Canadian Grand Prix,344
107,2010,German Grand Prix,347
108,2010,Hungarian Grand Prix,348
109,2010,Belgian Grand Prix,349
110,2010,Singapore Grand Prix,351
111,2010,Japanese Grand Prix,352
112,2010,Korean Grand Prix,353
113,2010,Brazilian Grand Prix,354
114,2010,Abu Dhabi Grand Prix,355
115,1989,Canadian Grand Prix,361
116,1989,Belgian Grand Prix,366
117,1989,Australian Grand Prix,371
118,1988,Detroit Grand Prix,377
119,1988,British Grand Prix,379
120,1988,German Grand Prix,380
121,1988,Belgian Grand Prix,382
122,1988,Japanese Grand Prix,386
123,1987,Detroit Grand Prix,392
124,1985,Portuguese Grand Prix,421
125,1985,German Grand Prix,428
126,1985,Austrian Grand Prix,429
127,1985,Belgian Grand Prix,432
128,1984,French Grand Prix,440
129,1984,Monaco Grand Prix,441
130,1982,Monaco Grand Prix,472
131,1982,Detroit Grand Prix,473
132,1982,German Grand Prix,478
133,1981,Belgian Grand Prix,487
134,1981,French Grand Prix,490
135,1981,German Grand Prix,492
136,1981,Italian Grand Prix,495
137,1981,Canadian Grand Prix,496
138,1979,United States Grand Prix,526
139,1978,Austrian Grand Prix,538
140,1978,Canadian Grand Prix,542
141,1977,Belgian Grand Prix,549
142,1977,Austrian Grand Prix,554
143,1977,United States Grand Prix,557
144,1976,German Grand Prix,569
145,1976,United States Grand Prix,574
146,1976,Japanese Grand Prix,575
147,1975,Monaco Grand Prix,580
148,1975,Dutch Grand Prix,583
149,1975,Austrian Grand Prix,587
150,1975,Italian Grand Prix,588
151,1974,Spanish Grand Prix,593
152,1973,Canadian Grand Prix,618
153,1972,United States Grand Prix,631
154,1971,Monaco Grand Prix,634
155,1971,Dutch Grand Prix,635
156,1971,United States Grand Prix,642
157,1970,Monaco Grand Prix,645
158,1970,United States Grand Prix,654
159,1969,United States Grand Prix,665
160,1968,German Grand Prix,674
161,1966,Belgian Grand Prix,691
162,1966,British Grand Prix,693
163,1966,German Grand Prix,695
164,1965,United States Grand Prix,707
165,1963,Belgian Grand Prix,720
166,1962,German Grand Prix,734
167,1962,Italian Grand Prix,735
168,1961,British Grand Prix,742
169,1957,Indianapolis 500,778
170,1956,Indianapolis 500,786
171,1956,Belgian Grand Prix,787
172,1954,British Grand Prix,803
173,1952,Indianapolis 500,818
174,1950,Indianapolis 500,835
175,2011,Australian Grand Prix,841
176,2011,Turkish Grand Prix,844
177,2011,Canadian Grand Prix,847
178,2011,British Grand Prix,849
179,2011,German Grand Prix,850
180,2011,Hungarian Grand Prix,851
181,2011,Belgian Grand Prix,852
182,2011,Korean Grand Prix,856
183,2012,Australian Grand Prix,860
184,2012,Malaysian Grand Prix,861
185,2012,Bahrain Grand Prix,863
186,2012,Spanish Grand Prix,864
187,2012,Monaco Grand Prix,865
188,2012,British Grand Prix,868
189,2012,Belgian Grand Prix,871
190,2012,Brazilian Grand Prix,879
191,2013,Australian Grand Prix,880
192,2013,Malaysian Grand Prix,881
193,2013,British Grand Prix,887
194,2013,Belgian Grand Prix,891
195,2013,Brazilian Grand Prix,899
196,2014,Australian Grand Prix,900
197,2014,Chinese Grand Prix,903
198,2014,Spanish Grand Prix,904
199,2014,Monaco Grand Prix,905
200,2014,Canadian Grand Prix,906
201,2014,British Grand Prix,908
202,2014,Hungarian Grand Prix,910
203,2014,Belgian Grand Prix,911
204,2014,Japanese Grand Prix,914
